iata_code,airport_name,city_name,country_name
AAI,Arraias,Arraias,Botswana
AAK,Aranuka,Aranuka,Kiribati
AAV,Alah,Alah,Philippines
AAW,Abbottabad,Abbottabad,Pakistan
ABG,Abingdon,Abingdon,Australia
ABH,Alpha,Alpha,Australia
ACS,Achinsk,Achinsk,Russia
ADB,Adnan Menderes,Izmir,Turkey
ADO,Andamooka,Andamooka,Australia
ADR,Andrews,Andrews,United States
AEK,Aseki,Aseki,Papua New Guinea
AFR,Afore,Afore,Papua New Guinea
AGG,Angoram,Angoram,Papua New Guinea
BLR,Bengaluru,Bengaluru,India
AAE,Les Salines,Annaba,Algeria
AAM,Malamala,Malamala,South Africa
AAN,Al Ain,Alain,United Arab Emirates
AAO,Anaco,Anaco,Venezuela
AAQ,Anapa,Anapa,Russia
AAR,Aarhus,Aarhus,Denmark
AAX,Araxa,Araxa,Brazil
AAY,Al Ghaydah,Alghaydah,Yemen
ABA,Abakan,Abakan,Russia
ABC,Los Llanos,Albacete,Spain
ABE,Lehigh Valley International,Allentownbthlehm,United States
ABF,Abaiang,Abaiang,Kiribati
ABI,Abilene,Abilene,United States
ABJ,Felix Boigny,Abidjan,Cote D'Ivoire (Ivory Coast)
ABL,Ambler,Ambler,United States
ABM,Injinoo,Bamaga,Australia
ABQ,Albuquerque,Albuquerque,United States
ABS,Abu Simbel,Abusimbel,Egypt
ABT,Al Aqiq,Al-Baha,Saudi Arabia
ABV,Nnamdi Azikiwe International Airport,Abuja,Nigeria
ABX,Albury,Albury,Australia
ABY,Dougherty County,Albany,United States
ABZ,Dyce,Aberdeen,United Kingdom
ACC,Kotoka,Accra,Ghana
ACD,Acandi,Acandi,Colombia
ACE,Lanzarote,Lanzarote,Spain
ACH,Altenrhein,Altenrhein,Switzerland
ACI,The Blaye,Alderney,United Kingdom
ACK,Nantucket,Nantucket,United States
ACP,Sahand,Maragheh,Iran
ACT,Waco,Waco,United States
ACV,Arcata,Arcata,United States
ACX,Xingyi,Xingyi,China
ACZ,Zabol,Zabol,Iran
ADA,Adana,Adana,Turkey
ADD,Bole International,Addisababa,Ethiopia
ADE,Aden,Aden,Yemen
ADF,Adiyaman,Adiyaman,Turkey
ADH,Aldan,Aldan,Russia
ADK,Adak Island,Adakisland,United States
ADL,Adelaide,Adelaide,Australia
ADM,Ardmore,Ardmore,United States
ADQ,Kodiak,Kodiak,United States
ADU,Ardabil,Ardabil,Iran
ADY,Alldays,Alldays,South Africa
AEA,Abemamaatoll,Abemamaatoll,Kiribati
AEH,Abecher,Abecher,Chad
AEO,Aiounelatrouss,Aiounelatrouss,Mauritania
AEP,Jorge Newbery Airport,Buenosaires,Argentina
AER,Adler,Sochi,Russia
AES,Vigra,Alesund,Norway
AEX,Alexandria,Alexandria,United States
AEY,Akureyri,Akureyri,Iceland
AFA,San Rafael,San Rafael,Argentina
AFS,Zarafshan,Zarafshan,Uzbekistan
AFT,Aerodrome,Afutara,Solomon Islands
AFW,Fort Worth Alliance,Fort Worth Meacham,United States
AFY,Afyon,Afyon,Turkey
AGA,Almassira,Agadir,Morocco
AGB,Augsburg Muehlhausen,Munich,Germany
AGE,Wangerooge,Wangerooge,Germany
AGF,La Garenne,Agen,France
AAU,Asau,Asau,Samoa
DEL,Indira Gandhi Intl Airport,Delhi,India
ABU,Atambua,Atambua,Indonesia
AGK,Kagua,Kagua,Papua New Guinea
AGM,Tasiilaq,Tasiilaq,Greenland
AHI,Amahai,Amahai,Indonesia
AHL,Aishalton,Aishalton,Guyana
AHZ,L'alped'huez,L'alped'huez,France
AIB,Anitabay,Anitabay,United States
AID,Anderson,Anderson,United States
AIF,Assis,Assis,Brazil
AIG,Yalinga,Yalinga,Central African Republic
AII,Albenga,Albenga,Italy
AIP,Adampur,Adampur,India
AIR,Aripuana,Aripuana,Brazil
AIY,Baderfiel Airport,Atlantic,United States
AJJ,Akjoujt,Akjoujt,Mauritania
AJO,Aljouf,Aljouf,Yemen
AKE,Akieni,Akieni,Gabon
AKG,Anguganak,Anguganak,Papua New Guinea
AKK,Akhiok,Akhiok,United States
ALC,El Altet,Alicante,Spain
ALE,Alpine,Alpine,United States
ALK,Asela,Asela,Ethiopia
ALN,Alton,Alton,United States
ALQ,Federal Airport,Alegrete,Brazil
ALT,Alenquer,Alenquer,Brazil
ALV,Andorra La Vella,Andorra La Vella,Andorra
AMF,Ama,Ama,Papua New Guinea
AMG,Amboin,Amboin,Papua New Guinea
AMJ,Almenara,Almenara,Brazil
AGQ,Agrinion,Agrinion,Greece
AGR,Kheria Airport,Agra,India
AGT,Alejo Garcia,Ciudad Del Este,Paraguay
AGU,Aguascalients,Aguascalientes,Mexico
AGV,Acarigua,Acarigua,Venezuela
AGX,Agattiisland,Agattiisland,India
AHB,Abha,Abha,Saudi Arabia
AHE,Ahe,Ahe,French Polynesia
AHN,Athens,Athens,United States
AHO,Fertilia,Alghero,Italy
AHU,Charif Al Idrissi,Alhoceima,Morocco
AIA,Alliance,Alliance,United States
AIN,Wainwright,Wainwright,United States
AIS,Aroraeisland,Aroraeisland,Kiribati
AIU,Atiu Island,Atiuisland,Cook Islands
AIZ,Lee C Fine Memorial,Kaiser/lake Ozark,United States
AJA,Campo Dell Oro,Ajaccio,France
AJF,Jouf,Jouf,Saudi Arabia
AJI,Agri,Agri,Turkey
AJN,Ouani,Anjouan,Comoros
AJR,Arvidsjaur,Arvidsjaur,Sweden
AJU,Santa Maria,Aracaju,Brazil
AJY,Agades,Agades,Niger
AKB,Atka,Atka,United States
AKF,Kufrah,Kufrah,Libya
AKI,Akiak,Akiak,United States
AKL,Auckland,Auckland,New Zealand
AKN,King Salmon,Kingsalmon,United States
AKP,Anaktuvuk,Anaktuvuk,United States
AKR,Akure,Akure,Nigeria
AKU,Aksu,Aksu,China
AKV,Akulivik,Akulivik,Canada
AKX,Aktyubinsk,Aktyubinsk,Kazakhstan
AKY,Civil,Sittwe,Myanmar
ALA,Almaty,Almaty,Kazakhstan
ALF,Alta,Alta,Norway
ALG,Houari Boumediene,Algiers,Algeria
ALH,Albany,Albany,Australia
ALL,Albenga,Albenga,Italy
ALM,Alamogordo,Alamogordo,United States
ALO,Waterloo,Waterloo,United States
ALP,Nejrab,Aleppo,Syria
ALR,Alexandra,Alexandra,New Zealand
ALU,Alula,Alula,Somalia
ALW,Walla Walla,Wallawalla,United States
ALY,El Nohza,Alexandria,Egypt
AMB,Ambilobe,Ambilobe,Madagascar
AMC,Amtiman,Amtiman,Chad
AMD,Ahmedabad,Ahmedabad,India
AMH,Arba Mintch,Arbamintch,Ethiopia
AGL,Wanigela,Wanigela,Papua New Guinea
AGP,Pablo Ruiz Picasso,Malaga,Spain
AIC,Airok,Airok,Marshall Islands
AIE,Aiome,Aiome,Papua New Guinea
ALZ,Alitak,Alitak,United States
AMO,Mao,Mao,Chad
AMP,Ampanihy,Ampanihy,Madagascar
AMR,Arno,Arno,Marshall Islands
AMT,Amata,Amata,Australia
AMU,Amanab,Amanab,Papua New Guinea
ANA,Anaheim,Anaheim,United States
ANH,Anuhaislandresort,Anuhaislandresort,Solomon Islands
ANJ,Zanaga,Zanaga,Congo
ANL,Andulo,Andulo,Angola
ANO,Angoche,Angoche,Mozambique
ANT,St. Anton Airport,Saintanton,Austria
AOA,Aroa,Aroa,Papua New Guinea
AOB,Annanberg,Annanberg,Papua New Guinea
AOD,Aboudeia,Aboudeia,Chad
API,Apiay,Apiay,Colombia
APP,Asapa,Asapa,Papua New Guinea
APQ,Arapiraca,Arapiraca,Brazil
APS,Anapolis,Anapolis,Brazil
APV,Applevalley,Applevalley,United States
ARF,Acaricuara,Acaricuara,Colombia
ARJ,Arso,Arso,Indonesia
ARL,Arly,Arly,Burkina Faso
ARN,Arlanda,Stockholm,Sweden
ARO,Arboletas,Arboletas,Colombia
ARP,Aragip,Aragip,Papua New Guinea
ARS,Aragarcas,Aragarcas,Brazil
ARX,Asburypark,Asburypark,United States
ARY,Ararat,Ararat,Australia
ARZ,N'zeto,N'zeto,Angola
ASC,Ascension,Ascension,Bolivia
ASQ,Austin,Austin,United States
AMV,Amderma,Amderma,Russia
ANB,Anniston,Anniston,United States
AND,Anderson,Anderson,United States
ANE,Marce,Angers,France
ANF,Cerro Moreno,Antofagasta,Chile
ANG,Briechampniers Airport,Angouleme,France
ANI,Aniak,Aniak,United States
ANR,Deurne,Antwerp,Belgium
ANM,Antsirabato,Antalaha,Madagascar
ANN,Annetteisland,Annetteisland,United States
ANU,V. C. Bird Intl,Antigua,Antigua and Barbuda
AMQ,Pattimura,Ambon,Indonesia
ANV,Anvik,Anvik,United States
ANX,Andenes,Andenes,Norway
AOC,Altenburg,Altenburg,Germany
AOI,Falconara,Ancona,Italy
AOJ,Aomori,Aomori,Japan
AOK,Karpathos,Karpathos,Greece
AMY,Ambatomainty,Ambatomainty,Madagascar
AOL,Paso De Los Libres,Paso De Los Libres,Argentina
AOR,Alor Setar,Alorsetar,Malaysia
AOT,Corrado Gex,Aosta,Italy
APC,Napa,Napa,United States
APF,Naples,Naples,United States
APK,Apataki,Apataki,French Polynesia
APN,County Regional,Alpena,United States
APO,Apartado,Apartado,Colombia
APW,Faleolo,Apia,Samoa
APZ,Zapala,Zapala,Argentina
AQG,Anqing,Anqing,China
AQI,Qaisumah,Qaisumah,Saudi Arabia
AQJ,King Hussein Intl,Aqaba,Jordan
AQP,Rodriguez Ballon,Arequipa,Peru
ARC,Arctic Village,Arcticvillage,United States
ARD,Alorisland,Alorisland,Indonesia
ARH,Arkhangelsk,Arkhangelsk,Russia
ARI,Chacalluta,Arica,Chile
ARK,Arusha,Arusha,Tanzania
ARM,Armidale,Armidale,Australia
ART,Watertown,Watertown,United States
ARU,Aracatuba,Aracatuba,Brazil
ARV,Noble F. Lee,Minocqua,United States
ARW,Arad,Arad,Romania
ASA,Assab,Assab,Eritrea
ASD,Andros Town,Andros Town,The Bahamas
ASE,Aspen,Aspen,United States
ASF,Astrakhan,Astrakhan,Russia
ASJ,Amami O Shima,Amamioshima,Japan
ASM,Yohannes IV,Asmara,Eritrea
ASO,Asosa,Asosa,Ethiopia
ASP,Alice Springs,Alice Springs,Australia
ANK,Etimesgut,Ankara,Turkey
ASX,Ashland,Ashland,United States
ATI,Artigas,Artigas,Uruguay
ATN,Namatanai,Namatanai,Papua New Guinea
ATS,Artesia,Artesia,United States
ATU,Cascocove Airport,Attuisland,United States
ATV,Ati,Ati,Chad
ATX,Atbasar,Atbasar,Kazakhstan
AUD,Augustus Downs,Augustus Downs,Australia
AUI,Auaisland,Auaisland,Papua New Guinea
AUM,Austin,Austin,United States
AUP,Agaun,Agaun,Papua New Guinea
AUV,Aumo,Aumo,Papua New Guinea
AVU,Avuavu,Avuavu,Solomon Islands
AWH,Awareh,Awareh,Ethiopia
AWR,Awar,Awar,Papua New Guinea
AXB,Alexandriabay,Alexandriabay,United States
AXC,Aramac,Aramac,Australia
AXX,Angelfire,Angelfire,United States
AYC,Ayacucho,Ayacucho,Colombia
AYD,Alroy Downs,Alroy Downs,Australia
AYG,Yaguara,Yaguara,Colombia
AYU,Aiyura,Aiyura,Papua New Guinea
AYW,Ayawasi,Ayawasi,Indonesia
AZB,Amazonbay,Amazonbay,Papua New Guinea
AZP,Atizapan,Mexico,Mexico
AZT,Zapatoca,Zapatoca,Colombia
AZZ,Ambriz,Ambriz,Angola
BAA,Bialla,Bialla,Papua New Guinea
AST,Astoria,Astoria,United States
ASU,Silvio Pettirossi,Asuncion,Paraguay
ASV,Amboseli,Amboseli,Kenya
ATA,Anta,Anta,Peru
ATB,Atbara,Atbara,Sudan
ATC,Arthur's Town,Arthur's Town,The Bahamas
ATD,Atoifi,Atoifi,Solomon Islands
ATH,Eleftherios Venizelos,Athens,Greece
ATJ,Antsirabe,Antsirabe,Madagascar
ATK,Atqasuk,Atqasuk,United States
ATM,Altamira,Altamira,Brazil
ATO,Ohiouniversity Airport,Athens,United States
ATQ,Raja Sansi International,Amritsar,India
ATR,Mouakchott Airport,Atar,Mauritania
ATW,Outagamie County,Appleton,United States
ATY,Watertown,Watertown,United States
ATZ,Assiut,Assiut,Egypt
AUA,Reina Beatrix,Aruba,Aruba
AUG,Augusta,Augusta,United States
ATP,Aitape,Aitape,Papua New Guinea
AUK,Alakanuk,Alakanuk,United States
AUQ,Atuona,Atuona,French Polynesia
AUR,Aurillac,Aurillac,France
AUS,bergstrom International,Austin,United States
AUU,Aurukun Mission,Aurukun Mission,Australia
AUW,Wausau,Wausau,United States
AUY,Aneityum,Aneityum,Vanuatu
AVA,Anshun,Anshun,China
AVI,Maximo Gomez,Ciegodeavila,Cuba
AVK,Arvaikheer,Arvaikheer,Mongolia
AVN,Caum,Avignon,France
AVP,Scrantn Wilkesbre,Scranton,United States
AVV,Avalon,Melbourne,Australia
AVX,Avalonbay Airport,Catalinaisland,United States
AWA,Awassa,Awassa,Ethiopia
AWD,Aniwa,Aniwa,Vanuatu
AXA,Wallblake,Anguilla,Anguilla
AXK,Ataq,Ataq,Yemen
AXM,El Eden,Armenia,Colombia
AXP,Springpoint Arpt,Springpoint,The Bahamas
AXR,Arutua,Arutua,French Polynesia
AXT,Akita,Akita,Japan
AXU,Axum,Axum,Ethiopia
AYP,Yanamilla,Ayacucho,Peru
AYQ,Connellan,Ayersrock,Australia
AYT,Antalya,Antalya,Turkey
AZD,Yazd,Yazd,Iran
AZN,Andizhan,Andizhan,Uzbekistan
AZR,Adrar,Adrar,Algeria
AZS,Samana,Samana,Dominican Republic
AUH,Abu Dhabi,Abudhabi,United Arab Emirates
ATT,Atmautluak,Atmautluak,United States
AUJ,Ambunti,Ambunti,Papua New Guinea
AUL,Aurisland,Aurisland,Marshall Islands
AWB,Awaba,Awaba,Papua New Guinea
BAJ,Bali,Bali,Papua New Guinea
BAP,Baibara,Baibara,Papua New Guinea
BAT,Barretos,Barretos,Brazil
BBB,Benson,Benson,United States
BBD,Curtis Field Airport,Brady,United States
BBF,Burlington,Burlington,United States
BBU,Baneasa,Bucharest,Romania
BBV,Bereby,Bereby,Cote D'Ivoire (Ivory Coast)
BBY,Bambari,Bambari,Central African Republic
BBZ,Zambezi,Zambezi,Zambia
BCG,Bemichi,Bemichi,Guyana
BCJ,Bacagrande,Bacagrande,United States
BCK,Bolwarra,Bolwarra,Australia
BCP,Bambu,Bambu,Papua New Guinea
BCS,Southseaplane Airport,Bellechasse,United States
BCV,Belmopan,Belmopan,Belize
BCX,Beloretsk,Beloretsk,Russia
BCY,Bulchi,Bulchi,Ethiopia
BCZ,Bickerton Island,Bickerton Island,Australia
BDC,Barra Do Corda,Barra Do Corda,Brazil
BDI,Birdisland,Birdisland,Seychelles
BDK,Bondoukou,Bondoukou,Cote D'Ivoire (Ivory Coast)
BDY,State Airport,Bandon,United States
BDZ,Baindoung,Baindoung,Papua New Guinea
BEA,Bereina,Bereina,Papua New Guinea
BFC,Bloomfield,Bloomfield,Australia
BAG,Loakan,Baguio,Philippines
BAH,Bahrain,Bahrain,Bahrain
BAM,Landerc Airport,Battlemountain,United States
BAL,Batman,Batman,Turkey
BAQ,E Cortissoz,Barranquilla,Colombia
BAS,Balalae,Balalae,Solomon Islands
BAV,Baotou,Baotou,China
BAX,Barnaul,Barnaul,Russia
BAY,Baia Mare,Baiamare,Romania
BAZ,Barbelos,Barbelos,Brazil
BBA,Teniente Vidal,Balmaceda,Chile
BBH,Barth Airport,Stralsund,Germany
BBI,Biju Patnaik Airport,Bhubaneswar,India
BBK,Kasane,Kasane,Botswana
BBM,Battambang,Battambang,Cambodia
BBN,Bario,Bario,Malaysia
BBQ,Barbuda,Barbuda,Antigua and Barbuda
BBT,Berberati,Berberati,Central African Republic
BCA,Baracoa,Baracoa,Cuba
BCD,Bacolod,Bacolod,Philippines
BCE,Bryce,Bryce,United States
BCI,Barcaldine,Barcaldine,Australia
BCL,Barra Colorado,Barracolorado,Costa Rica
BCM,Bacau,Bacau,Romania
BCO,Jinka,Jinka,Ethiopia
BDA,Kindley Field,Bermuda,Bermuda
BDB,Bundaberg,Bundaberg,Australia
BDD,Badu Island,Badu Island,Australia
BDJ,Sjamsudin Noor,Banjarmasin,Indonesia
BDL,Bradley International,Hartford,United States
BDN,Talhar Airport,Badin,Pakistan
BDO,Husein Sastranegara,Bandung,Indonesia
BDP,Bhadrapur,Bhadrapur,Nepal
BDR,Igorisikorskymem Airport,Bridgeport,United States
BDS,Papola Casale,Brindisi,Italy
BDT,Gbadolite,Gbadolite,Democratic Republic of the Congo
BDU,Bardufoss,Bardufoss,Norway
BED,Hanscom Field,Bedfordhanscom,United States
BEF,Bluefields,Bluefields,Nicaragua
BEG,Nikola Tesla,Belgrade,Serbia
BEI,Beica,Beica,Ethiopia
BEJ,Kalimaru,Berau,Indonesia
BEL,Val De Cans,Belem,Brazil
BEN,Benina Intl,Benghazi,Libya
BEO,Belmont Airport,Newcastle,Australia
BEP,Bellary,Bellary,India
BET,Bethel,Bethel,United States
BEU,Bedourie,Bedourie,Australia
BEV,Beersheba,Beersheba,Israel
BEW,Beira,Beira,Mozambique
BEZ,Beru,Beru,Kiribati
BAK,Baku,Baku,Azerbaijan
BER,Metropolitan Area,Berlin,Germany
BCW,Benguera Island,Bengueraisland,Mozambique
BEH,Rossfield Airport,Bentonharbor,United States
BFR,Virgiligrissom Airport,Bedford,United States
BFU,Bengbu,Bengbu,China
BGB,Booue,Booue,Gabon
BGH,Abbaye,Boghe,Mauritania
BGJ,Borgarfjordureystri,Borgarfjordureystri,Iceland
BGL,Baglung,Baglung,Nepal
BGT,Bagdad,Bagdad,United States
BGU,Bangassou,Bangassou,Central African Republic
BGY,Orio Al Serio,Milan,Italy
BHA,Bahiadecaraquez,Bahiadecaraquez,Ecuador
BHZ,Belo Horizonte,Belo Horizonte,Brazil
BIB,Baidoa,Baidoa,Somalia
BIH,Bishop,Bishop,United States
BIT,Baitadi,Baitadi,Nepal
BIV,Bria,Bria,Central African Republic
BIW,Billiluna,Billiluna,Australia
BIZ,Bimin,Bimin,Papua New Guinea
BJD,Bakkafjordur,Bakkafjordur,Iceland
BJK,Benjina,Benjina,Indonesia
BJS,Beijing,Beijing,China
BJW,Bajawa,Bajawa,Indonesia
BFF,County,Scottsbluff,United States
BFJ,Ba,Ba,Fiji Islands
BFL,Meadows Field,Bakersfield,United States
BFN,Bloemfontein,Bloemfontein,South Africa
BFO,Buffalorange,Buffalorange,Zimbabwe
BFP,Beaverfalls,Beaverfalls,United States
BHE,Woodbourne Air Station,Blenheim,New Zealand
BFT,County Airport,Beaufort,United States
BFV,Buriram,Buriram,Thailand
BFX,Bafoussam,Bafoussam,Cameroon
BGA,Palo Negro,Bucaramanga,Colombia
BGC,Braganca,Braganca,Portugal
BGF,Bangui,Bangui,Central African Republic
BGM,Greater Binghamton,Binghamton,United States
BGO,Flesland,Bergen,Norway
BGR,Bangor,Bangor,United States
BGW,Baghdad,Baghdad,Iraq
BGX,Bage,Bage,Brazil
BGZ,Braga,Braga,Portugal
BHB,Bar Harbor,Barharbor,United States
BHG,Brus Laguna,Bruslaguna,Honduras
BHH,Bisha,Bisha,Saudi Arabia
BHI,Comandante,Bahiablanca,Argentina
BHJ,Rudra Mata Airport,Bhuj,India
BHK,Bukhara,Bukhara,Uzbekistan
BHN,Beihan,Beihan,Yemen
BHO,Bhopal,Bhopal,India
BHP,Bhojpur,Bhojpur,Nepal
BHQ,Broken Hill,Broken Hill,Australia
BHR,Bharatpur,Bharatpur,Nepal
BHS,Raglan,Bathurst,Australia
BHV,Bahawalpur,Bahawalpur,Pakistan
BHX,Birmingham,Birmingham,United Kingdom
BHY,Beihai,Beihai,China
BIA,Poretta,Bastia,France
BID,Blockisland,Blockisland,United States
BIK,Frans Kaisepo,Biak,Indonesia
BIL,Billings,Billings,United States
BIM,Bimini,Bimini,The Bahamas
BIN,Bamiyan,Bamiyan,Afghanistan
BIQ,Biarritz Parme,Biarritz,France
BIR,Biratnagar,Biratnagar,Nepal
BIS,Bismarck,Bismarck,United States
BIU,Bildudalur,Bildudalur,Iceland
BIY,Bisho,Bisho,South Africa
BJB,Bojnord,Bojnurd,Iran
BJF,Batsfjord,Batsfjord,Norway
BJH,Bajhang,Bajhang,Nepal
BJL,Yundum International,Banjul,The Gambia 
BJM,Bujumbura,Bujumbura,Burundi
BJO,Bermejo,Bermejo,Bolivia
BJR,Bahar Dar,Bahardar,Ethiopia
BJU,Bajura,Bajura,Nepal
BJX,Del Bajío International,Leon,Mexico
BJZ,Talaveral La Real,Badajoz,Spain
BFQ,Bahia Pinas,Bahiapinas,Panama
BGK,Big Creek,Bigcreek,Belize
BII,Enyuairfield Airport,Bikiniatoll,Marshall Islands
BJT,Bentota River,Bentota River,Sri Lanka
BKE,Baker,Baker,United States
BKJ,Boke,Boke,Guinea
BKP,Barkly Downs,Barkly Downs,Australia
BKR,Bokoro,Bokoro,Chad
BKU,Betioky,Betioky,Madagascar
BLC,Bali,Bali,Cameroon
BLO,Blonduos,Blonduos,Iceland
BLP,Bellavista,Bellavista,Peru
BMB,Bumba,Bumba,Democratic Republic of the Congo
BMF,Bakouma,Bakouma,Central African Republic
BMH,Bomai,Bomai,Papua New Guinea
BMJ,Baramita,Baramita,Guyana
BML,Berlin,Berlin,United States
BMZ,Bamu,Bamu,Papua New Guinea
BNB,Boende,Boende,Democratic Republic of the Congo
BNC,Beni,Beni,Democratic Republic of the Congo
BNF,Warmspringbay Airport,Baranof,United States
BNJ,Bonnhbfrailwaystn Airport,Cologne/bonn,Germany
BNM,Bodinumu,Bodinumu,Papua New Guinea
BNT,Bundi,Bundi,Papua New Guinea
BNV,Boana,Boana,Papua New Guinea
BNZ,Banz,Banz,Papua New Guinea
BOE,Boundji,Boundji,Congo
BOK,Brookings,Brookings,United States
BOP,Bouar,Bouar,Central African Republic
BOQ,Boku,Boku,Papua New Guinea
BOV,Boang,Boang,Papua New Guinea
BKC,Buckland,Buckland,United States
BKG,Branson,Branson,United States
WAC,Waca,Waca,Ethiopia
BKX,Brookings,Brookings,United States
BKM,Bakalalan,Bakalalan,Malaysia
BKO,Bamako,Bamako,Mali
BKQ,Blackall,Blackall,Australia
BKW,Beckley,Beckley,United States
BKY,Kamenbe,Bukavu,Democratic Republic of the Congo
BKZ,Bukoba,Bukoba,Tanzania
BLA,Gen J A Anzoategui,Barcelona,Venezuela
BLB,Balboa,Balboa,Panama
BLF,Princeton,Bluefield,United States
BLG,Belaga,Belaga,Malaysia
BLH,Blythe,Blythe,United States
BLJ,Batna,Batna,Algeria
BLK,Blackpool,Blackpool,United Kingdom
BLL,Billund,Billund,Denmark
BLQ,Guglielmo Marconi,Bologna,Italy
BLT,Blackwater,Blackwater,Australia
BLZ,Chileka,Blantyre,Malawi
BMA,Bromma,Stockholm,Sweden
BMD,Belo,Belo,Madagascar
BME,Broome,Broome,Australia
BMI,Central Illinois Regional Airport,Bloomington,United States
BMK,Borkum,Borkum,Germany
BMM,Bitam,Bitam,Gabon
BMO,Bhamo,Bhamo,Myanmar
BMP,Brampton Island,Brampton Island,Australia
BMU,Bima,Bima,Indonesia
BMW,Bordj Badji Mokhtar,Bordj Badji Mokhtar,Algeria
BMY,Belep Island,Belepisland,New Caledonia
BNA,Nashville,Nashville,United States
BND,Bandar Abbas,Bandarabbas,Iran
BNI,Benin City,Benin,Nigeria
BNK,Byron Gateway,Ballina,Australia
BNN,Bronnoy,Bronnoysund,Norway
BNO,Burns,Burns,United States
BNP,Bannu,Bannu,Pakistan
BNU,Blumenau,Blumenau,Brazil
BNX,Banja Luka,Banja Luka,Bosnia and Herzegovina
BOA,Boma,Boma,Democratic Republic of the Congo
BOB,Motu mute,Borabora,French Polynesia
BOD,Mérignac,Bordeaux,France
BOG,Eldorado International,Bogota,Colombia
BOH,Bournemouth International,Bournemouth,United Kingdom
BOI,Gowen Field,Boise,United States
BOJ,Bourgas,Burgas,Bulgaria
BOO,Bodo,Bodo,Norway
BOR,Belfort,Belfort,France
BOS,Logan International,Boston,United States
BOU,Bourges,Bourges,France
LUA,Lukla,Lukla,Nepal
BKK,Suvarnabhumi International Airport,Bangkok,Thailand
BLD,Lasvegas Boulder Airport,Lasvegas,United States
BNY,Bellona,Bellona,Solomon Islands
BOX,Borroloola,Borroloola,Australia
BPB,Boridi,Boridi,Papua New Guinea
BPD,Bapi,Bapi,Papua New Guinea
BQE,Bubaque,Bubaque,Guinea
BQI,Bagani,Bagani,Namibia
BQO,Bouna,Bouna,Cote D'Ivoire (Ivory Coast)
BQQ,Barra,Barra,Brazil
BQW,Balgo Hills,Balgo Hills,Australia
BRB,Barreirinha Airport,Barreiras,Brazil
BRF,Bradford,Bradford,United Kingdom
BRH,Brahman,Brahman,Papua New Guinea
BRP,Biaru,Biaru,Papua New Guinea
BSH,Brighton,Brighton,United Kingdom
BSO,Basco,Basco,Philippines
BSP,Bensbach,Bensbach,Papua New Guinea
BSS,Balsas,Balsas,Brazil
BSY,Bardera,Bardera,Somalia
BSZ,Bartletts,Bartletts,United States
BTA,Bertoua,Bertoua,Cameroon
BTD,Brunette Downs,Brunette Downs,Australia
BTL,Wkkellogg Airport,Battlecreek,United States
BTN,Bennettsville,Bennettsville,United States
BTQ,Butare,Butare,Rwanda
BUE,Buenos Aires,Buenos Aires,Argentina
BUH,Bucharest,Bucharest,Romania
BUK,Albuq,Albuq,Yemen
BUL,Bulolo,Bulolo,Papua New Guinea
BPC,Bamenda,Bamenda,Cameroon
BPG,Barra Do Garcas,Barra Do Garcas,Brazil
BPN,Sepingan,Balikpapan,Indonesia
BPT,Jefferson County,Beaumont,United States
BPX,Bangda,Bangda,China
BPY,Besalampy,Besalampy,Madagascar
BQB,Bussellton,Bussellton,Australia
BQL,Boulia,Boulia,Australia
BQN,Borinquen,Aguadilla,Puerto Rico
BQS,Blagoveschensk,Blagoveshchensk,Russia
BQT,Brest,Brest,Belarus
BRA,Barreiras,Barradogarcas,Brazil
BRD,Brainerd Lakes Regional,Brainerd,United States
BRE,Bremen,Bremen,Germany
BRI,Palese,Bari,Italy
BRK,Bourke,Bourke,Australia
BRL,Burlington,Burlington,United States
BRM,Barquisimeto,Barquisimeto,Venezuela
BRN,Belp,Bern,Switzerland
BRQ,Turany,Brno,Czech Republic
BRR,North Bay,North Bay,United Kingdom
BRS,Bristol,Bristol,United Kingdom
BRT,Bathurst Island,Bathurst Island,Australia
BRV,Bremerhaven,Bremerhaven,Germany
BRW,Wiley Post W.Rogers M,Barrow,United States
BRX,Barahona,Barahona,Dominican Republic
BSA,Bossaso,Bossaso,Somalia
BSC,Bahia Solano,Bahiasolano,Colombia
BSD,Baoshan,Baoshan,China
BSG,Bata,Bata,Equatorial Guinea
BSJ,Bairnsdale,Bairnsdale,Australia
BSK,Biskra,Biskra,Algeria
BSR,Basra,Basrah,Iraq
BST,Bost,Bost,Afghanistan
BSU,Basankusu,Basankusu,Democratic Republic of the Congo
BSX,Bassein,Bassein,Myanmar
BTC,Batticaloa,Batticaloa,Sri Lanka
BTE,Bonthe,Bonthe,Sierra Leone
BTH,Hang Nadim,Batubesar,Indonesia
BTJ,Sultan Lskandarmuda Airport,Bandaaceh,Indonesia
BTK,Bratsk,Bratsk,Russia
BTM,Bert Mooney Airport,Butte,United States
BTR,Ryan,Batonrouge,United States
BTT,Bettles,Bettles,United States
BTU,Bintulu,Bintulu,Malaysia
BTV,Burlington,Burlington,United States
BUA,Buka,Buka,Papua New Guinea
BUC,Burketown,Burketown,Australia
BUF,Niagara International,Buffalo,United States
BUG,Gen V Deslandes Airport,Benguela,Angola
BUI,Bokondini,Bokondini,Indonesia
BUN,Buenaventura,Buenaventura,Colombia
BUO,Burao,Burao,Somalia
BTO,Botopasie,Botopasie,Suriname
BUV,Bellaunion,Bellaunion,Uruguay
